FileName,RingCanal,Marker,Region,Category,Frequency,Fas3
20230517vsgpav_pnut,Pavarotti ,Peanut,TwoB,pav midbody,2,No
20230517vsgpav_pnut,Pavarotti ,Peanut,Three,pav midbody,2,No
20230517vsgpav_pnut,Pavarotti ,Peanut,TwoB,pav rings,10,No
20230517vsgpav_pnut,Pavarotti ,Peanut,Three,pav rings,15,No
20230517vsgpav_pnut,Pavarotti ,Peanut,TwoB,pav midbody:pnut ring,11,No
20230517vsgpav_pnut,Pavarotti ,Peanut,Three,pav midbody:pnut ring,1,No
20230517vsgpav_pnut,Pavarotti ,Peanut,TwoB,pav ring:pnut ring,2,No
20230517vsgpav_pnut,Pavarotti ,Peanut,Three,pav ring:pnut ring,0,No
20230517vsgpav_pnut,Pavarotti ,Peanut,TwoB,pav:pnut protein,0,No
20230517vsgpav_pnut,Pavarotti ,Peanut,Three,pav:pnut protein,0,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,TwoB,pav midbody,3,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,Three,pav midbody,1,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,TwoB,pav rings,6,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,Three,pav rings,10,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,TwoB,pav midbody:pnut ring,3,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,Three,pav midbody:pnut ring,1,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,TwoB,pav ring:pnut ring,5,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,Three,pav ring:pnut ring,4,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,TwoB,pav:pnut protein,6,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,Three,pav:pnut protein,1,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,TwoB,pnut rings,4,No
20230801pavRFPvsgGFPpnut004,Pavarotti ,Peanut,Three,pnut rings,6,No
20230801pavRFPvsgGFPpnut002,Pavarotti ,Peanut,TwoB,pav midbody,2,No
20230801pavRFPvsgGFPpnut002,Pavarotti ,Peanut,Three,pav midbody,0,No
20230801pavRFPvsgGFPpnut002,Pavarotti ,Peanut,TwoB,pav rings,8,No
