,Area,Mean,Min,Max,X,Y
1,354,255,255,255,1800.884,725.571
2,357,255,255,255,1663.775,735.447
3,357,255,255,255,1377.22,851.5
4,357,255,255,255,1487.5,873.5
5,692,255,255,255,1003.355,938.689
6,352,255,255,255,1293.06,951.639
7,357,255,255,255,1810.318,981.73
8,353,255,255,255,2030.596,1226.868
9,354,255,255,255,1321.116,1246.429
10,359,255,255,255,1541.623,1312.623
11,356,255,255,255,1220.784,1336.581
12,353,255,255,255,1443.426,1487.086
13,353,255,255,255,1359.256,1503.123
14,358,255,255,255,1116.601,1609.299
