FileName,RingCanal,Marker,Region,Category,Frequency,Fas3
20230920vsgpnutfasIII,Visgun,Peanut,TwoB,ring structure,14,Yes
20230920vsgpnutfasIII,Visgun,Peanut,Three,ring structure,0,Yes
20230920vsgpnutfasIII,Visgun,Peanut,TwoB,pnut ring,4,Yes
20230920vsgpnutfasIII,Visgun,Peanut,Three,pnut ring,2,Yes
20230920vsgpnutfasIII,Visgun,Peanut,TwoB,ring: pnut ,0,Yes
20230920vsgpnutfasIII,Visgun,Peanut,Three,ring: pnut ,0,Yes
20230920vsgpnutfasIII,Visgun,Peanut,TwoB,ring-like structures,6,Yes
20230920vsgpnutfasIII,Visgun,Peanut,Three,ring-like structures,1,Yes
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,TwoB,ring structure,3,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,Three,ring structure,7,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,TwoB,pnut ring,4,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,Three,pnut ring,6,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,TwoB,ring: pnut ,0,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,Three,ring: pnut ,0,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,TwoB,ring-like structures,7,No
20230801pavRFPvsgGFPpnut004,Visgun,Peanut,Three,ring-like structures,7,No
20230517vsgpav_pnut,Visgun,Peanut,TwoB,ring structure,10,No
20230517vsgpav_pnut,Visgun,Peanut,Three,ring structure,15,No
20230517vsgpav_pnut,Visgun,Peanut,TwoB,pnut ring,0,No
20230517vsgpav_pnut,Visgun,Peanut,Three,pnut ring,0,No
20230517vsgpav_pnut,Visgun,Peanut,TwoB,ring-like structures,1,No
20230517vsgpav_pnut,Visgun,Peanut,Three,ring-like structures,14,No
20230920vsgpnutfasIII001,Visgun,Peanut,TwoB,ring structure,12,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,Three,ring structure,5,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,TwoB,pnut ring,3,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,Three,pnut ring,4,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,TwoB,ring: pnut ,3,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,Three,ring: pnut ,0,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,TwoB,ring-like structures,3,Yes
20230920vsgpnutfasIII001,Visgun,Peanut,Three,ring-like structures,0,Yes
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,TwoB,ring structure,1,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,Three,ring structure,12,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,TwoB,pnut ring,0,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,Three,pnut ring,2,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,TwoB,ring: pnut ,0,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,Three,ring: pnut ,0,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,TwoB,ring-like structures,2,No
20230801pavRFPvsgGFPpnut003,Visgun,Peanut,Three,ring-like structures,4,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,TwoB,ring structure,16,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,Three,ring structure,9,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,TwoB,pnut ring,2,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,Three,pnut ring,3,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,TwoB,ring: pnut ,0,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,Three,ring: pnut ,0,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,TwoB,ring-like structures,8,No
20230801pavRFPvsgGFPpnut002,Visgun,Peanut,Three,ring-like structures,4,No
20230920vsgpnutfasIII002,Visgun,Peanut,TwoB,ring structure,7,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,Three,ring structure,3,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,TwoB,pnut ring,3,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,Three,pnut ring,5,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,TwoB,ring: pnut ,4,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,Three,ring: pnut ,0,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,TwoB,ring-like structures,3,Yes
20230920vsgpnutfasIII002,Visgun,Peanut,Three,ring-like structures,2,Yes
