Date,FileName,Rcmarker,Category,Region,Count
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_rings_only,TwoB,17
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_rings_only,Three,5
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pnut_rings_only,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pnut_rings_only,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pavrings_pnutrings,TwoB,7
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pavrings_pnutrings,Three,5
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_pnut_nonring,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_pnut_nonring,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_midbody_only,TwoB,1
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_midbody_only,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pavmidbody_pnutstructure,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_nonring_structure,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_002,pav::mcherry,pav_nonring_structure,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_rings_only,TwoB,9
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_rings_only,Three,13
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pnut_rings_only,TwoB,2
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pnut_rings_only,Three,1
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pavrings_pnutrings,TwoB,8
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pavrings_pnutrings,Three,9
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_pnut_nonring,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_pnut_nonring,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_midbody_only,TwoB,1
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_midbody_only,Three,1
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pavmidbody_pnutstructure,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_nonring_structure,TwoB,1
7/8/24,pavmcherry_pnut_fas3_20240708_003,pav::mcherry,pav_nonring_structure,Three,1
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_rings_only,TwoB,8
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_rings_only,Three,8
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pnut_rings_only,TwoB,1
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pnut_rings_only,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pavrings_pnutrings,TwoB,8
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pavrings_pnutrings,Three,5
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_pnut_nonring,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_pnut_nonring,Three,4
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_midbody_only,TwoB,1
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_midbody_only,Three,1
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pavmidbody_pnutstructure,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_nonring_structure,TwoB,2
7/8/24,pavmcherry_pnut_fas3_20240708_004,pav::mcherry,pav_nonring_structure,Three,1
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pav_rings_only,TwoB,10
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pav_rings_only,Three,9
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pnut_rings_only,TwoB,2
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pnut_rings_only,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pavrings_pnutrings,TwoB,4
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pavrings_pnutrings,Three,2
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pav_pnut_nonring,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pav_pnut_nonring,Three,0
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pav_midbody_only,TwoB,2
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pav_midbody_only,Three,1
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
7/8/24,pavmcherry_pnut_fas3_20240708_005,pav::mcherry,pavmidbody_pnutstructure,Three,0
